state,candidate,total_votes,party,Election Year
Arkansas,Donald Trump,1188,Republican,2016
Arkansas,John Kasich,87,Republican,2016
Arkansas,Marco Rubio,662,Republican,2016
Arkansas,Ted Cruz,1138,Republican,2016
Arkansas,Ben Carson,164,Republican,2016
Arkansas,Donald Trump,1198,Republican,2016
Arkansas,John Kasich,107,Republican,2016
Arkansas,Marco Rubio,674,Republican,2016
Arkansas,Ted Cruz,958,Republican,2016
Arkansas,Ben Carson,1541,Republican,2016
Arkansas,Donald Trump,7968,Republican,2016
Arkansas,John Kasich,1291,Republican,2016
Arkansas,Marco Rubio,8730,Republican,2016
Arkansas,Ted Cruz,8890,Republican,2016
Arkansas,Ben Carson,979,Republican,2016
Arkansas,Donald Trump,4074,Republican,2016
Arkansas,John Kasich,292,Republican,2016
Arkansas,Marco Rubio,2877,Republican,2016
Arkansas,Ted Cruz,4395,Republican,2016
Arkansas,Ben Carson,20,Republican,2016
Arkansas,Donald Trump,130,Republican,2016
Arkansas,John Kasich,5,Republican,2016
Arkansas,Marco Rubio,46,Republican,2016
Arkansas,Ted Cruz,85,Republican,2016
Arkansas,Ben Carson,136,Republican,2016
Arkansas,Donald Trump,911,Republican,2016
Arkansas,John Kasich,47,Republican,2016
Arkansas,Marco Rubio,496,Republican,2016
Arkansas,Ted Cruz,784,Republican,2016
California,Bernie Sanders,91324,Democrat,2016
California,Hillary Clinton,107102,Democrat,2016
California,Bernie Sanders,129,Democrat,2016
California,Hillary Clinton,110,Democrat,2016
California,Bernie Sanders,1753,Democrat,2016
California,Hillary Clinton,1949,Democrat,2016
California,Bernie Sanders,14271,Democrat,2016
California,Hillary Clinton,9681,Democrat,2016
California,Bernie Sanders,2392,Democrat,2016
California,Hillary Clinton,2630,Democrat,2016
California,Bernie Sanders,584,Democrat,2016
California,Hillary Clinton,653,Democrat,2016
California,Bernie Sanders,46909,Democrat,2016
California,Hillary Clinton,69809,Democrat,2016
California,Bernie Sanders,1323,Democrat,2016
California,Hillary Clinton,1015,Democrat,2016
California,Bernie Sanders,9497,Democrat,2016
California,Hillary Clinton,10367,Democrat,2016
California,Bernie Sanders,21672,Democrat,2016
California,Hillary Clinton,32895,Democrat,2016
California,Bernie Sanders,644,Democrat,2016
California,Hillary Clinton,649,Democrat,2016
California,Bernie Sanders,13245,Democrat,2016
California,Hillary Clinton,6036,Democrat,2016
California,Bernie Sanders,2731,Democrat,2016
California,Hillary Clinton,5743,Democrat,2016
California,Bernie Sanders,957,Democrat,2016
California,Hillary Clinton,756,Democrat,2016
California,Bernie Sanders,13475,Democrat,2016
California,Hillary Clinton,19104,Democrat,2016
California,Bernie Sanders,2548,Democrat,2016
California,Hillary Clinton,3921,Democrat,2016
California,Bernie Sanders,2704,Democrat,2016
California,Hillary Clinton,2408,Democrat,2016
California,Bernie Sanders,770,Democrat,2016
California,Hillary Clinton,690,Democrat,2016
California,Bernie Sanders,434656,Democrat,2016
California,Hillary Clinton,590502,Democrat,2016
California,Bernie Sanders,3626,Democrat,2016
California,Hillary Clinton,4831,Democrat,2016
California,Bernie Sanders,19848,Democrat,2016
California,Hillary Clinton,27238,Democrat,2016
California,Bernie Sanders,1050,Democrat,2016
California,Hillary Clinton,963,Democrat,2016
California,Bernie Sanders,4654,Democrat,2016
California,Hillary Clinton,2690,Democrat,2016
California,Bernie Sanders,5190,Democrat,2016
California,Hillary Clinton,7169,Democrat,2016
California,Bernie Sanders,280,Democrat,2016
California,Hillary Clinton,240,Democrat,2016
California,Bernie Sanders,917,Democrat,2016
California,Hillary Clinton,755,Democrat,2016
California,Bernie Sanders,12894,Democrat,2016
California,Hillary Clinton,17126,Democrat,2016
California,Bernie Sanders,4781,Democrat,2016
California,Hillary Clinton,7370,Democrat,2016
California,Bernie Sanders,8472,Democrat,2016
California,Hillary Clinton,5591,Democrat,2016
California,Bernie Sanders,100836,Democrat,2016
California,Hillary Clinton,123723,Democrat,2016
California,Bernie Sanders,12787,Democrat,2016
California,Hillary Clinton,17299,Democrat,2016
California,Bernie Sanders,1476,Democrat,2016
California,Hillary Clinton,1209,Democrat,2016
California,Bernie Sanders,47988,Democrat,2016
California,Hillary Clinton,73724,Democrat,2016
California,Bernie Sanders,50567,Democrat,2016
California,Hillary Clinton,68248,Democrat,2016
California,Bernie Sanders,1439,Democrat,2016
California,Hillary Clinton,2022,Democrat,2016
California,Bernie Sanders,51770,Democrat,2016
California,Hillary Clinton,71246,Democrat,2016
California,Bernie Sanders,111898,Democrat,2016
California,Hillary Clinton,139813,Democrat,2016
California,Bernie Sanders,67191,Democrat,2016
California,Hillary Clinton,85070,Democrat,2016
California,Bernie Sanders,16329,Democrat,2016
California,Hillary Clinton,25118,Democrat,2016
California,Bernie Sanders,16147,Democrat,2016
California,Hillary Clinton,16833,Democrat,2016
California,Bernie Sanders,30003,Democrat,2016
California,Hillary Clinton,47358,Democrat,2016
California,Bernie Sanders,22976,Democrat,2016
California,Hillary Clinton,23543,Democrat,2016
California,Bernie Sanders,70468,Democrat,2016
California,Hillary Clinton,109963,Democrat,2016
California,Bernie Sanders,25171,Democrat,2016
California,Hillary Clinton,20105,Democrat,2016
California,Bernie Sanders,6140,Democrat,2016
California,Hillary Clinton,5875,Democrat,2016
California,Bernie Sanders,275,Democrat,2016
California,Hillary Clinton,213,Democrat,2016
California,Bernie Sanders,2301,Democrat,2016
California,Hillary Clinton,1585,Democrat,2016
California,Bernie Sanders,23630,Democrat,2016
California,Hillary Clinton,31753,Democrat,2016
California,Bernie Sanders,42715,Democrat,2016
California,Hillary Clinton,44923,Democrat,2016
California,Bernie Sanders,12086,Democrat,2016
California,Hillary Clinton,15309,Democrat,2016
California,Bernie Sanders,1894,Democrat,2016
California,Hillary Clinton,2370,Democrat,2016
California,Bernie Sanders,1544,Democrat,2016
California,Hillary Clinton,1487,Democrat,2016
California,Bernie Sanders,953,Democrat,2016
California,Hillary Clinton,585,Democrat,2016
California,Bernie Sanders,5755,Democrat,2016
California,Hillary Clinton,8375,Democrat,2016
California,Bernie Sanders,2623,Democrat,2016
California,Hillary Clinton,2851,Democrat,2016
California,Bernie Sanders,38523,Democrat,2016
California,Hillary Clinton,45848,Democrat,2016
California,Bernie Sanders,11532,Democrat,2016
California,Hillary Clinton,12567,Democrat,2016
California,Bernie Sanders,1730,Democrat,2016
California,Hillary Clinton,1572,Democrat,2016
California,Donald Trump,19951,Republican,2016
California,John Kasich,5108,Republican,2016
California,Ted Cruz,3208,Republican,2016
California,Donald Trump,122,Republican,2016
California,John Kasich,18,Republican,2016
California,Ted Cruz,7,Republican,2016
California,Donald Trump,3605,Republican,2016
California,John Kasich,366,Republican,2016
California,Ted Cruz,285,Republican,2016
California,Donald Trump,15695,Republican,2016
California,John Kasich,1441,Republican,2016
California,Ted Cruz,1458,Republican,2016
California,Donald Trump,4902,Republican,2016
California,John Kasich,418,Republican,2016
California,Ted Cruz,392,Republican,2016
California,Donald Trump,1342,Republican,2016
California,John Kasich,108,Republican,2016
California,Ted Cruz,109,Republican,2016
California,Donald Trump,28612,Republican,2016
California,John Kasich,6936,Republican,2016
California,Ted Cruz,3476,Republican,2016
California,Donald Trump,1536,Republican,2016
California,John Kasich,118,Republican,2016
California,Ted Cruz,174,Republican,2016
California,Donald Trump,17651,Republican,2016
California,John Kasich,2095,Republican,2016
California,Ted Cruz,1583,Republican,2016
California,Donald Trump,37672,Republican,2016
California,John Kasich,3893,Republican,2016
California,Ted Cruz,5150,Republican,2016
California,Donald Trump,1699,Republican,2016
California,John Kasich,140,Republican,2016
California,Ted Cruz,172,Republican,2016
California,Donald Trump,4613,Republican,2016
California,John Kasich,599,Republican,2016
California,Ted Cruz,699,Republican,2016
California,Donald Trump,2222,Republican,2016
California,John Kasich,217,Republican,2016
California,Ted Cruz,436,Republican,2016
California,Donald Trump,1414,Republican,2016
California,John Kasich,160,Republican,2016
California,Ted Cruz,124,Republican,2016
California,Donald Trump,33838,Republican,2016
California,John Kasich,2931,Republican,2016
California,Ted Cruz,4917,Republican,2016
California,Donald Trump,7046,Republican,2016
California,John Kasich,459,Republican,2016
California,Ted Cruz,866,Republican,2016
California,Donald Trump,2261,Republican,2016
California,John Kasich,259,Republican,2016
California,Ted Cruz,209,Republican,2016
California,Donald Trump,2508,Republican,2016
California,John Kasich,138,Republican,2016
California,Ted Cruz,222,Republican,2016
California,Donald Trump,179130,Republican,2016
California,John Kasich,33559,Republican,2016
California,Ted Cruz,30775,Republican,2016
California,Donald Trump,8247,Republican,2016
California,John Kasich,700,Republican,2016
California,Ted Cruz,1074,Republican,2016
California,Donald Trump,6409,Republican,2016
California,John Kasich,2318,Republican,2016
California,Ted Cruz,596,Republican,2016
California,Donald Trump,1940,Republican,2016
California,John Kasich,195,Republican,2016
California,Ted Cruz,259,Republican,2016
California,Donald Trump,1769,Republican,2016
California,John Kasich,221,Republican,2016
California,Ted Cruz,165,Republican,2016
California,Donald Trump,6712,Republican,2016
California,John Kasich,571,Republican,2016
California,Ted Cruz,849,Republican,2016
California,Donald Trump,1019,Republican,2016
California,John Kasich,51,Republican,2016
California,Ted Cruz,89,Republican,2016
California,Donald Trump,830,Republican,2016
California,John Kasich,147,Republican,2016
California,Ted Cruz,85,Republican,2016
California,Donald Trump,8079,Republican,2016
California,John Kasich,1912,Republican,2016
California,Ted Cruz,956,Republican,2016
California,Donald Trump,4000,Republican,2016
California,John Kasich,820,Republican,2016
California,Ted Cruz,386,Republican,2016
California,Donald Trump,7628,Republican,2016
California,John Kasich,889,Republican,2016
California,Ted Cruz,548,Republican,2016
California,Donald Trump,146888,Republican,2016
California,John Kasich,21285,Republican,2016
California,Ted Cruz,16844,Republican,2016
California,Donald Trump,25700,Republican,2016
California,John Kasich,3364,Republican,2016
California,Ted Cruz,2212,Republican,2016
California,Donald Trump,2588,Republican,2016
California,John Kasich,261,Republican,2016
California,Ted Cruz,193,Republican,2016
California,Donald Trump,82814,Republican,2016
California,John Kasich,7502,Republican,2016
California,Ted Cruz,7232,Republican,2016
California,Donald Trump,43099,Republican,2016
California,John Kasich,7206,Republican,2016
California,Ted Cruz,5052,Republican,2016
California,Donald Trump,1455,Republican,2016
California,John Kasich,191,Republican,2016
California,Ted Cruz,184,Republican,2016
California,Donald Trump,69186,Republican,2016
California,John Kasich,5883,Republican,2016
California,Ted Cruz,8165,Republican,2016
California,Donald Trump,124255,Republican,2016
California,John Kasich,16572,Republican,2016
California,Ted Cruz,12275,Republican,2016
California,Donald Trump,7244,Republican,2016
California,John Kasich,2963,Republican,2016
California,Ted Cruz,1084,Republican,2016
California,Donald Trump,22042,Republican,2016
California,John Kasich,2325,Republican,2016
California,Ted Cruz,2633,Republican,2016
California,Donald Trump,19313,Republican,2016
California,John Kasich,2980,Republican,2016
California,Ted Cruz,2129,Republican,2016
California,Donald Trump,12984,Republican,2016
California,John Kasich,3867,Republican,2016
California,Ted Cruz,1499,Republican,2016
California,Donald Trump,18167,Republican,2016
California,John Kasich,3071,Republican,2016
California,Ted Cruz,2002,Republican,2016
California,Donald Trump,35568,Republican,2016
California,John Kasich,10894,Republican,2016
California,Ted Cruz,6012,Republican,2016
California,Donald Trump,5883,Republican,2016
California,John Kasich,1639,Republican,2016
California,Ted Cruz,721,Republican,2016
California,Donald Trump,14822,Republican,2016
California,John Kasich,1120,Republican,2016
California,Ted Cruz,1566,Republican,2016
California,Donald Trump,497,Republican,2016
California,John Kasich,33,Republican,2016
California,Ted Cruz,32,Republican,2016
California,Donald Trump,3573,Republican,2016
California,John Kasich,266,Republican,2016
California,Ted Cruz,296,Republican,2016
California,Donald Trump,17548,Republican,2016
California,John Kasich,2266,Republican,2016
California,Ted Cruz,1949,Republican,2016
California,Donald Trump,16602,Republican,2016
California,John Kasich,4425,Republican,2016
California,Ted Cruz,2034,Republican,2016
California,Donald Trump,15390,Republican,2016
California,John Kasich,1557,Republican,2016
California,Ted Cruz,2201,Republican,2016
California,Donald Trump,4697,Republican,2016
California,John Kasich,356,Republican,2016
California,Ted Cruz,416,Republican,2016
California,Donald Trump,3940,Republican,2016
California,John Kasich,226,Republican,2016
California,Ted Cruz,340,Republican,2016
California,Donald Trump,1026,Republican,2016
California,John Kasich,110,Republican,2016
California,Ted Cruz,106,Republican,2016
California,Donald Trump,15334,Republican,2016
California,John Kasich,1259,Republican,2016
California,Ted Cruz,1577,Republican,2016
California,Donald Trump,4949,Republican,2016
California,John Kasich,426,Republican,2016
California,Ted Cruz,440,Republican,2016
California,Donald Trump,38493,Republican,2016
California,John Kasich,6499,Republican,2016
California,Ted Cruz,4787,Republican,2016
California,Donald Trump,5110,Republican,2016
California,John Kasich,1089,Republican,2016
California,Ted Cruz,557,Republican,2016
California,Donald Trump,3210,Republican,2016
California,John Kasich,198,Republican,2016
California,Ted Cruz,318,Republican,2016
Colorado,Bernie Sanders,3279,Democrat,2016
Colorado,Hillary Clinton,2060,Democrat,2016
Colorado,Bernie Sanders,167,Democrat,2016
Colorado,Hillary Clinton,90,Democrat,2016
Colorado,Bernie Sanders,6086,Democrat,2016
Colorado,Hillary Clinton,5320,Democrat,2016
Colorado,Bernie Sanders,156,Democrat,2016
Colorado,Hillary Clinton,83,Democrat,2016
Colorado,Bernie Sanders,14,Democrat,2016
Colorado,Hillary Clinton,15,Democrat,2016
Colorado,Bernie Sanders,24,Democrat,2016
Colorado,Hillary Clinton,26,Democrat,2016
Colorado,Bernie Sanders,11142,Democrat,2016
Colorado,Hillary Clinton,6354,Democrat,2016
Colorado,Bernie Sanders,1010,Democrat,2016
Colorado,Hillary Clinton,563,Democrat,2016
Colorado,Bernie Sanders,404,Democrat,2016
Colorado,Hillary Clinton,210,Democrat,2016
Colorado,Bernie Sanders,4,Democrat,2016
Colorado,Hillary Clinton,5,Democrat,2016
Colorado,Bernie Sanders,199,Democrat,2016
Colorado,Hillary Clinton,159,Democrat,2016
Colorado,Bernie Sanders,50,Democrat,2016
Colorado,Hillary Clinton,73,Democrat,2016
Colorado,Bernie Sanders,23,Democrat,2016
Colorado,Hillary Clinton,64,Democrat,2016
Colorado,Bernie Sanders,16,Democrat,2016
Colorado,Hillary Clinton,15,Democrat,2016
Colorado,Bernie Sanders,45,Democrat,2016
Colorado,Hillary Clinton,34,Democrat,2016
Colorado,Bernie Sanders,417,Democrat,2016
Colorado,Hillary Clinton,177,Democrat,2016
Colorado,Bernie Sanders,14624,Democrat,2016
Colorado,Hillary Clinton,12097,Democrat,2016
Colorado,Bernie Sanders,22,Democrat,2016
Colorado,Hillary Clinton,8,Democrat,2016
Colorado,Bernie Sanders,2347,Democrat,2016
Colorado,Hillary Clinton,2342,Democrat,2016
Colorado,Bernie Sanders,623,Democrat,2016
Colorado,Hillary Clinton,344,Democrat,2016
Colorado,Bernie Sanders,4954,Democrat,2016
Colorado,Hillary Clinton,3109,Democrat,2016
Colorado,Bernie Sanders,144,Democrat,2016
Colorado,Hillary Clinton,89,Democrat,2016
Colorado,Bernie Sanders,268,Democrat,2016
Colorado,Hillary Clinton,193,Democrat,2016
Colorado,Bernie Sanders,734,Democrat,2016
Colorado,Hillary Clinton,439,Democrat,2016
Colorado,Bernie Sanders,173,Democrat,2016
Colorado,Hillary Clinton,74,Democrat,2016
Colorado,Bernie Sanders,187,Democrat,2016
Colorado,Hillary Clinton,94,Democrat,2016
Colorado,Bernie Sanders,481,Democrat,2016
Colorado,Hillary Clinton,141,Democrat,2016
Colorado,Bernie Sanders,10,Democrat,2016
Colorado,Hillary Clinton,3,Democrat,2016
Colorado,Bernie Sanders,150,Democrat,2016
Colorado,Hillary Clinton,93,Democrat,2016
Colorado,Bernie Sanders,12,Democrat,2016
Colorado,Hillary Clinton,15,Democrat,2016
Colorado,Bernie Sanders,8281,Democrat,2016
Colorado,Hillary Clinton,5478,Democrat,2016
Colorado,Bernie Sanders,2,Democrat,2016
Colorado,Hillary Clinton,5,Democrat,2016
Colorado,Bernie Sanders,16,Democrat,2016
Colorado,Hillary Clinton,11,Democrat,2016
Colorado,Bernie Sanders,1466,Democrat,2016
Colorado,Hillary Clinton,819,Democrat,2016
Colorado,Bernie Sanders,165,Democrat,2016
Colorado,Hillary Clinton,53,Democrat,2016
Colorado,Bernie Sanders,6664,Democrat,2016
Colorado,Hillary Clinton,3231,Democrat,2016
Colorado,Bernie Sanders,106,Democrat,2016
Colorado,Hillary Clinton,80,Democrat,2016
Colorado,Bernie Sanders,14,Democrat,2016
Colorado,Hillary Clinton,20,Democrat,2016
Colorado,Bernie Sanders,70,Democrat,2016
Colorado,Hillary Clinton,77,Democrat,2016
Colorado,Bernie Sanders,1095,Democrat,2016
Colorado,Hillary Clinton,791,Democrat,2016
Colorado,Bernie Sanders,25,Democrat,2016
Colorado,Hillary Clinton,16,Democrat,2016
Colorado,Bernie Sanders,28,Democrat,2016
Colorado,Hillary Clinton,21,Democrat,2016
Colorado,Bernie Sanders,412,Democrat,2016
Colorado,Hillary Clinton,198,Democrat,2016
Colorado,Bernie Sanders,258,Democrat,2016
Colorado,Hillary Clinton,210,Democrat,2016
Colorado,Bernie Sanders,87,Democrat,2016
Colorado,Hillary Clinton,70,Democrat,2016
Colorado,Bernie Sanders,94,Democrat,2016
Colorado,Hillary Clinton,78,Democrat,2016
Colorado,Bernie Sanders,156,Democrat,2016
Colorado,Hillary Clinton,86,Democrat,2016
Colorado,Bernie Sanders,231,Democrat,2016
Colorado,Hillary Clinton,118,Democrat,2016
Colorado,Bernie Sanders,18,Democrat,2016
Colorado,Hillary Clinton,11,Democrat,2016
Colorado,Bernie Sanders,421,Democrat,2016
Colorado,Hillary Clinton,349,Democrat,2016
Colorado,Bernie Sanders,18,Democrat,2016
Colorado,Hillary Clinton,40,Democrat,2016
Colorado,Bernie Sanders,1140,Democrat,2016
Colorado,Hillary Clinton,1260,Democrat,2016
Colorado,Bernie Sanders,18,Democrat,2016
Colorado,Hillary Clinton,8,Democrat,2016
Colorado,Bernie Sanders,59,Democrat,2016
Colorado,Hillary Clinton,47,Democrat,2016
Colorado,Bernie Sanders,406,Democrat,2016
Colorado,Hillary Clinton,230,Democrat,2016
Colorado,Bernie Sanders,219,Democrat,2016
Colorado,Hillary Clinton,47,Democrat,2016
Colorado,Bernie Sanders,27,Democrat,2016
Colorado,Hillary Clinton,11,Democrat,2016
Colorado,Bernie Sanders,329,Democrat,2016
Colorado,Hillary Clinton,89,Democrat,2016
Colorado,Bernie Sanders,8,Democrat,2016
Colorado,Hillary Clinton,13,Democrat,2016
Colorado,Bernie Sanders,419,Democrat,2016
Colorado,Hillary Clinton,276,Democrat,2016
Colorado,Bernie Sanders,219,Democrat,2016
Colorado,Hillary Clinton,126,Democrat,2016
Colorado,Bernie Sanders,12,Democrat,2016
Colorado,Hillary Clinton,10,Democrat,2016
Colorado,Bernie Sanders,1647,Democrat,2016
Colorado,Hillary Clinton,1043,Democrat,2016
Colorado,Bernie Sanders,33,Democrat,2016
Colorado,Hillary Clinton,45,Democrat,2016
Connecticut,Bernie Sanders,259,Democrat,2016
Connecticut,Hillary Clinton,145,Democrat,2016
Connecticut,Bernie Sanders,610,Democrat,2016
Connecticut,Hillary Clinton,582,Democrat,2016
Connecticut,Bernie Sanders,377,Democrat,2016
Connecticut,Hillary Clinton,212,Democrat,2016
Connecticut,Bernie Sanders,771,Democrat,2016
Connecticut,Hillary Clinton,1097,Democrat,2016
Connecticut,Bernie Sanders,210,Democrat,2016
Connecticut,Hillary Clinton,137,Democrat,2016
Connecticut,Bernie Sanders,270,Democrat,2016
Connecticut,Hillary Clinton,150,Democrat,2016
Connecticut,Bernie Sanders,1108,Democrat,2016
Connecticut,Hillary Clinton,1007,Democrat,2016
Connecticut,Bernie Sanders,376,Democrat,2016
Connecticut,Hillary Clinton,310,Democrat,2016
Connecticut,Bernie Sanders,837,Democrat,2016
Connecticut,Hillary Clinton,737,Democrat,2016
Connecticut,Bernie Sanders,226,Democrat,2016
Connecticut,Hillary Clinton,144,Democrat,2016
Connecticut,Bernie Sanders,942,Democrat,2016
Connecticut,Hillary Clinton,2821,Democrat,2016
Connecticut,Bernie Sanders,350,Democrat,2016
Connecticut,Hillary Clinton,251,Democrat,2016
Connecticut,Bernie Sanders,163,Democrat,2016
Connecticut,Hillary Clinton,102,Democrat,2016
Connecticut,Bernie Sanders,1684,Democrat,2016
Connecticut,Hillary Clinton,1626,Democrat,2016
Connecticut,Bernie Sanders,3756,Democrat,2016
Connecticut,Hillary Clinton,7278,Democrat,2016
Connecticut,Bernie Sanders,125,Democrat,2016
Connecticut,Hillary Clinton,95,Democrat,2016
Connecticut,Bernie Sanders,2735,Democrat,2016
Connecticut,Hillary Clinton,2235,Democrat,2016
Connecticut,Bernie Sanders,620,Democrat,2016
Connecticut,Hillary Clinton,598,Democrat,2016
Connecticut,Bernie Sanders,315,Democrat,2016
Connecticut,Hillary Clinton,225,Democrat,2016
Connecticut,Bernie Sanders,459,Democrat,2016
Connecticut,Hillary Clinton,402,Democrat,2016
Connecticut,Bernie Sanders,126,Democrat,2016
Connecticut,Hillary Clinton,54,Democrat,2016
Connecticut,Bernie Sanders,212,Democrat,2016
Connecticut,Hillary Clinton,133,Democrat,2016
Connecticut,Bernie Sanders,674,Democrat,2016
Connecticut,Hillary Clinton,540,Democrat,2016
Connecticut,Bernie Sanders,140,Democrat,2016
Connecticut,Hillary Clinton,69,Democrat,2016
Connecticut,Bernie Sanders,1254,Democrat,2016
Connecticut,Hillary Clinton,1342,Democrat,2016
Connecticut,Bernie Sanders,361,Democrat,2016
Connecticut,Hillary Clinton,277,Democrat,2016
Connecticut,Bernie Sanders,723,Democrat,2016
Connecticut,Hillary Clinton,632,Democrat,2016
Connecticut,Bernie Sanders,977,Democrat,2016
Connecticut,Hillary Clinton,624,Democrat,2016
Connecticut,Bernie Sanders,86,Democrat,2016
Connecticut,Hillary Clinton,53,Democrat,2016
Connecticut,Bernie Sanders,408,Democrat,2016
Connecticut,Hillary Clinton,267,Democrat,2016
Connecticut,Bernie Sanders,199,Democrat,2016
Connecticut,Hillary Clinton,141,Democrat,2016
Connecticut,Bernie Sanders,761,Democrat,2016
Connecticut,Hillary Clinton,521,Democrat,2016
Connecticut,Bernie Sanders,718,Democrat,2016
Connecticut,Hillary Clinton,731,Democrat,2016
Connecticut,Bernie Sanders,1907,Democrat,2016
Connecticut,Hillary Clinton,2319,Democrat,2016
Connecticut,Bernie Sanders,363,Democrat,2016
Connecticut,Hillary Clinton,832,Democrat,2016
Connecticut,Bernie Sanders,339,Democrat,2016
Connecticut,Hillary Clinton,242,Democrat,2016
Connecticut,Bernie Sanders,493,Democrat,2016
Connecticut,Hillary Clinton,459,Democrat,2016
Connecticut,Bernie Sanders,408,Democrat,2016
Connecticut,Hillary Clinton,303,Democrat,2016
Connecticut,Bernie Sanders,283,Democrat,2016
Connecticut,Hillary Clinton,244,Democrat,2016
Connecticut,Bernie Sanders,570,Democrat,2016
Connecticut,Hillary Clinton,407,Democrat,2016
Connecticut,Bernie Sanders,738,Democrat,2016
Connecticut,Hillary Clinton,506,Democrat,2016
Connecticut,Bernie Sanders,1821,Democrat,2016
Connecticut,Hillary Clinton,2419,Democrat,2016
Connecticut,Bernie Sanders,915,Democrat,2016
Connecticut,Hillary Clinton,937,Democrat,2016
Connecticut,Bernie Sanders,972,Democrat,2016
Connecticut,Hillary Clinton,1011,Democrat,2016
Connecticut,Bernie Sanders,498,Democrat,2016
Connecticut,Hillary Clinton,371,Democrat,2016
Connecticut,Bernie Sanders,117,Democrat,2016
Connecticut,Hillary Clinton,62,Democrat,2016
Connecticut,Bernie Sanders,313,Democrat,2016
Connecticut,Hillary Clinton,394,Democrat,2016
Connecticut,Bernie Sanders,647,Democrat,2016
Connecticut,Hillary Clinton,499,Democrat,2016
Connecticut,Bernie Sanders,1765,Democrat,2016
Connecticut,Hillary Clinton,1375,Democrat,2016
Connecticut,Bernie Sanders,458,Democrat,2016
Connecticut,Hillary Clinton,513,Democrat,2016
Connecticut,Bernie Sanders,2358,Democrat,2016
Connecticut,Hillary Clinton,3505,Democrat,2016
Connecticut,Bernie Sanders,1278,Democrat,2016
Connecticut,Hillary Clinton,1302,Democrat,2016
Connecticut,Bernie Sanders,100,Democrat,2016
Connecticut,Hillary Clinton,56,Democrat,2016
Connecticut,Bernie Sanders,1830,Democrat,2016
Connecticut,Hillary Clinton,1985,Democrat,2016
Connecticut,Bernie Sanders,201,Democrat,2016
Connecticut,Hillary Clinton,106,Democrat,2016
Connecticut,Bernie Sanders,715,Democrat,2016
Connecticut,Hillary Clinton,508,Democrat,2016
Connecticut,Bernie Sanders,1443,Democrat,2016
Connecticut,Hillary Clinton,3206,Democrat,2016
Connecticut,Bernie Sanders,549,Democrat,2016
Connecticut,Hillary Clinton,326,Democrat,2016
Connecticut,Bernie Sanders,1536,Democrat,2016
Connecticut,Hillary Clinton,1332,Democrat,2016
Connecticut,Bernie Sanders,1483,Democrat,2016
Connecticut,Hillary Clinton,1812,Democrat,2016
Connecticut,Bernie Sanders,604,Democrat,2016
Connecticut,Hillary Clinton,437,Democrat,2016
Connecticut,Bernie Sanders,3641,Democrat,2016
Connecticut,Hillary Clinton,4914,Democrat,2016
Connecticut,Bernie Sanders,137,Democrat,2016
Connecticut,Hillary Clinton,111,Democrat,2016
Connecticut,Bernie Sanders,3150,Democrat,2016
Connecticut,Hillary Clinton,7413,Democrat,2016
Connecticut,Bernie Sanders,113,Democrat,2016
Connecticut,Hillary Clinton,51,Democrat,2016
Connecticut,Bernie Sanders,274,Democrat,2016
Connecticut,Hillary Clinton,177,Democrat,2016
Connecticut,Bernie Sanders,528,Democrat,2016
Connecticut,Hillary Clinton,415,Democrat,2016
Connecticut,Bernie Sanders,279,Democrat,2016
Connecticut,Hillary Clinton,264,Democrat,2016
Connecticut,Bernie Sanders,567,Democrat,2016
Connecticut,Hillary Clinton,319,Democrat,2016
Connecticut,Bernie Sanders,357,Democrat,2016
Connecticut,Hillary Clinton,356,Democrat,2016
Connecticut,Bernie Sanders,466,Democrat,2016
Connecticut,Hillary Clinton,235,Democrat,2016
Connecticut,Bernie Sanders,631,Democrat,2016
Connecticut,Hillary Clinton,525,Democrat,2016
Connecticut,Bernie Sanders,231,Democrat,2016
Connecticut,Hillary Clinton,145,Democrat,2016
Connecticut,Bernie Sanders,478,Democrat,2016
Connecticut,Hillary Clinton,399,Democrat,2016
Connecticut,Bernie Sanders,188,Democrat,2016
Connecticut,Hillary Clinton,206,Democrat,2016
Connecticut,Bernie Sanders,902,Democrat,2016
Connecticut,Hillary Clinton,1154,Democrat,2016
Connecticut,Bernie Sanders,2990,Democrat,2016
Connecticut,Hillary Clinton,2574,Democrat,2016
Connecticut,Bernie Sanders,2171,Democrat,2016
Connecticut,Hillary Clinton,1051,Democrat,2016
Connecticut,Bernie Sanders,382,Democrat,2016
Connecticut,Hillary Clinton,343,Democrat,2016
Connecticut,Bernie Sanders,1813,Democrat,2016
Connecticut,Hillary Clinton,1948,Democrat,2016
Connecticut,Bernie Sanders,324,Democrat,2016
Connecticut,Hillary Clinton,271,Democrat,2016
Connecticut,Bernie Sanders,277,Democrat,2016
Connecticut,Hillary Clinton,195,Democrat,2016
Connecticut,Bernie Sanders,2858,Democrat,2016
Connecticut,Hillary Clinton,2481,Democrat,2016
Connecticut,Bernie Sanders,2238,Democrat,2016
Connecticut,Hillary Clinton,2186,Democrat,2016
Connecticut,Bernie Sanders,668,Democrat,2016
Connecticut,Hillary Clinton,643,Democrat,2016
Connecticut,Bernie Sanders,732,Democrat,2016
Connecticut,Hillary Clinton,504,Democrat,2016
Connecticut,Bernie Sanders,122,Democrat,2016
Connecticut,Hillary Clinton,90,Democrat,2016
Connecticut,Bernie Sanders,1205,Democrat,2016
Connecticut,Hillary Clinton,757,Democrat,2016
